фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
Тарасова,Афиноген,,87498461978.0,,,1967-10-13,https://t.me/emmanuil01,8.0,702325783002.0,,,,75.0,96.0
Логинов,,,70898701432.0,,,,https://t.me/ysuhanov,8.0,702325783002.0,673465.0,10:46:55,m,,75.0
Борисов,,,70898701432.0,gorbunovdavid@example.net,,2008-05-10,,,,673465.0,,m,,
,,Георгиевна,74158990187.0,gorbunovdavid@example.net,"с. Каменск-Шахтинский, пер. Воровского, д. 6 стр. 19, 367875",,,,,,,,,61.0
,Кондратий,,72930142193.0,gorbunovdavid@example.net,,,,,,270481.0,8:21:12,,8.0,61.0
,Игорь,Ефимьевич,70898701432.0,,,1962-03-14,,8.0,702325783002.0,673465.0,10:46:55,m,71.0,
Кондратьева,,,,galkinefrem@example.net,,,https://t.me/emmanuil01,8.0,373257064453.0,,,f,8.0,61.0
Аксенов,,Ефимьевич,,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/zosima1970,8.0,,,,m,8.0,
,Станислав,,,gorbunovdavid@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",1948-03-14,https://t.me/hgavrilova,,,,,m,8.0,24.0
Рогова,Виктор,,,,"г. Курган, пер. Проезжий, д. 4, 318595",1997-04-12,,,702325783002.0,673465.0,19:12:10,,,61.0
Ермаков,Станислав,Ефимьевич,70898701432.0,aristarh56@example.com,"к. Соболево, алл. Ульяновская, д. 68 стр. 8/7, 632317",2003-08-16,https://t.me/emmanuil01,8.0,,673465.0,,m,16.0,61.0
,Станислав,Артёмович,,,"ст. Слюдянка, ш. Овражное, д. 7/2 стр. 884, 683957",1986-04-27,,8.0,,1306.0,,,,61.0
Меркушева,Станислав,,73088407977.0,kovalevdemjan@example.com,,,https://t.me/emmanuil01,8.0,173234485043.0,,,,54.0,61.0
,,,,,,,,,,,,m,49.0,
,Лев,,,pantelemon73@example.net,"д. Уфа, ш. Заречное, д. 6, 465556",,https://t.me/dorofeevamilitsa,,44453253837.0,,,,,
,Иванна,Александровна,,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/egor_95,,,839920.0,,m,5.0,98.0
Ермаков,Станислав,Ефимьевич,89376820746.0,,,,,8.0,,338544.0,,m,8.0,
,,,77254746880.0,ermola_2008@example.org,,1971-11-17,https://t.me/emmanuil01,,,673465.0,,,,61.0
Яковлев,,,89462129521.0,,"г. Курган, пер. Проезжий, д. 4, 318595",1967-10-13,https://t.me/emmanuil01,,702325783002.0,377206.0,20:0:36,m,26.0,
Уварова,Амос,,88233013492.0,,"п. Анапа, бул. Никитина, д. 1/5 к. 38, 288092",,https://t.me/cbobileva,,,,10:46:55,,,
Осипов,Владимир,,,nsavina@example.com,,,,,,673465.0,,,,
,Мефодий,Ефимьевич,,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/emmanuil01,,,,,,,61.0
Шестакова,,Ефимьевич,,borisovaviktorija@example.com,"клх Черняховск, бул. Ручейный, д. 266 к. 71, 577795",,,0.0,702325783002.0,982215.0,,m,8.0,61.0
Федотова,Станислав,,,,,1983-05-06,,8.0,,673465.0,10:46:55,f,,
,,,,,"г. Пушкино (Моск.), алл. Березовая, д. 78 стр. 5, 982620",,,8.0,,,10:46:55,,8.0,
Костина,Архип,Ефимьевич,,,,1967-10-13,https://t.me/gerasimovazhanna,,702325783002.0,,10:46:55,,8.0,
Евсеева,Конон,,,,,,https://t.me/mili1974,8.0,702325783002.0,,14:14:23,,,61.0
Суворова,Юлиан,Ефимьевич,,,"г. Листвянка (Иркут.), пер. Главный, д. 9/3 к. 92, 435164",,https://t.me/djachkovdemid,8.0,370002924853.0,673465.0,,m,,61.0
,Всемил,Ефимьевич,70898701432.0,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/lihachevnaum,8.0,,673465.0,14:22:32,m,8.0,61.0
,,,,,"клх Подольск, алл. Больничная, д. 864 к. 99, 141045",,https://t.me/snosov,,702325783002.0,,,,8.0,61.0
Сафонова,Станислав,Ефимьевич,87290412920.0,,"г. Курган, пер. Проезжий, д. 4, 318595",,,8.0,,673465.0,10:46:55,,8.0,61.0
Рогов,Селиверст,Ефимьевич,70898701432.0,kotovpahom@example.net,"д. Магадан, бул. Семашко, д. 626 стр. 6, 931827",1967-10-13,https://t.me/julikozlov,8.0,702325783002.0,,,m,,
Кулакова,София,,,gorbunovdavid@example.net,,,https://t.me/emmanuil01,,702325783002.0,,3:7:46,m,8.0,
Тихонов,Адриан,Ефимьевич,86018277489.0,,,1961-07-11,,,702325783002.0,,10:46:55,m,,61.0
,Станислав,,,,"п. Псебай, ул. Кольцова, д. 63, 061370",,,8.0,,,15:35:19,m,37.0,11.0
,,,,arefi37@example.net,"г. Верхнее Пенжино, пер. Серафимовича, д. 365 к. 856, 656569",1967-10-13,,8.0,702325783002.0,673465.0,,,,
,Станислав,Ефимьевич,,kiselevfirs@example.org,"г. Каспийск, пр. Стадионный, д. 1/4, 151058",1953-08-15,https://t.me/emmanuil01,,702325783002.0,673465.0,14:7:17,,,61.0
,,Ефимьевич,,,,,,31.0,,673465.0,18:26:5,m,,65.0
,,,,,,1950-01-19,,8.0,702325783002.0,673465.0,,m,8.0,61.0
Федоров,Леон,Ефимьевич,,,,,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,10:46:55,,,61.0
Богданов,,,,,"к. Псебай, пер. Тракторный, д. 6, 464750",1967-10-13,https://t.me/emmanuil01,,,,,,19.0,
,Глафира,,,,,1978-07-05,https://t.me/nmorozova,8.0,702325783002.0,463968.0,,m,16.0,61.0
Кудряшова,,Ефимьевич,,,,1973-04-25,,8.0,,673465.0,20:51:43,,,
Дроздова,,,89623938290.0,gorbunovdavid@example.net,,1967-10-13,,,,673819.0,7:36:22,,,
Ермаков,,,,,,,,8.0,702325783002.0,673465.0,,,,
,,Ефимьевич,,moke_05@example.org,,1967-10-13,,8.0,,673465.0,10:46:55,m,8.0,
,Станислав,,,kirillovapelageja@example.org,"клх Саранск, ул. Целинная, д. 5, 496084",1997-07-23,,8.0,,,10:46:55,,8.0,61.0
Жданов,Кузьма,,75379834749.0,,,1935-06-23,https://t.me/emmanuil01,,,673465.0,,m,8.0,8.0
,Полина,Ефимьевич,,firs53@example.com,,,https://t.me/emmanuil01,,702325783002.0,928616.0,,,,61.0
,,Борисович,,,,,https://t.me/emmanuil01,,79727680375.0,,,,8.0,
Григорьев,Евсей,,73024457646.0,gordeevpanfil@example.net,,1955-07-26,,15.0,770375340411.0,673465.0,,m,,71.0
,Христофор,,,,"к. Меренга, наб. Тульская, д. 5 к. 722, 949219",1968-11-26,,,,,,,,61.0
,Мартьян,,,,"г. Курган, пер. Проезжий, д. 4, 318595",1994-09-25,,,,765048.0,,f,,22.0
,Сильвестр,Ефимьевич,77846588096.0,isaevmihail@example.com,,1967-10-13,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,,,,62.0
Зыков,Пимен,Ефимьевич,,gorbunovdavid@example.net,"г. Кировск (Ленин.), алл. Л.Толстого, д. 7 стр. 5, 324139",1967-10-13,,,702325783002.0,,,,,61.0
,,Ефимьевич,,gorbunovdavid@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",,,18.0,702325783002.0,673465.0,10:46:55,,,61.0
,Станислав,,,filimon_06@example.org,,,,8.0,,,14:54:21,m,,
,,,75268210449.0,,,,,8.0,,,,,8.0,61.0
,,,70898701432.0,kkuzmina@example.com,,1967-10-13,https://t.me/anikepotapov,8.0,,,10:46:55,m,8.0,
,Марина,,,,"клх Бомнак, алл. Зеленая, д. 832 к. 8/8, 325416",,https://t.me/emmanuil01,,,673465.0,10:46:55,m,47.0,61.0
,Антип,,,radovanefremov@example.com,,1967-10-13,https://t.me/arsenilavrentev,,702325783002.0,673465.0,,,,
,,Болеславовна,83430804966.0,,"к. Пушкин, пер. Авиационный, д. 2 к. 74, 404654",,https://t.me/emmanuil01,8.0,,673465.0,22:58:44,,,
,,,,rjurik_2021@example.net,"г. Токма, ул. Озерная, д. 7 к. 1, 230339",,https://t.me/grusakova,8.0,,673465.0,,m,,61.0
,,Ефимьевич,73347851347.0,,,1954-05-28,https://t.me/emmanuil01,21.0,702325783002.0,673465.0,2:39:51,,8.0,
,,,,zchernova@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",,,8.0,702325783002.0,673465.0,10:46:55,,8.0,
,,Ефимьевич,,,"п. Великие Луки, наб. Западная, д. 342, 656504",,,8.0,,673465.0,22:59:18,,,61.0
,,Ефимьевич,,,,1982-08-10,https://t.me/serafim56,,702325783002.0,,14:27:53,m,59.0,
Щербаков,Наталья,Ефимьевич,71334037593.0,,,,https://t.me/mfrolov,,702325783002.0,673465.0,22:27:45,m,,
,Феврония,Ефимьевич,87931166460.0,,"клх Байкальск, ул. Камская, д. 8 к. 48, 537317",1967-10-13,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,,m,8.0,
Анисимов,,Ефимьевич,70898701432.0,,"клх Ершов, ул. Светлая, д. 896 к. 16, 759422",,,5.0,,,10:46:55,,8.0,
,,,,,,1967-10-13,https://t.me/emmanuil01,3.0,,,9:55:36,,,
Бирюков,,Ефимьевич,,mkomissarova@example.org,,,,8.0,,673465.0,11:34:48,m,8.0,61.0
,Всемил,,81860292120.0,ipat_1990@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/ernest2019,,,673465.0,10:46:55,,16.0,61.0
Осипова,Эрнест,,74529743135.0,ivanovevgraf@example.net,,,,,903961197165.0,,19:23:29,,8.0,61.0
,,,,vsemil2008@example.com,"д. Ревда (Сверд.), алл. Степная, д. 2 стр. 539, 121753",1962-11-01,https://t.me/kolobovaalla,,,,10:46:55,m,38.0,
Герасимов,Филарет,Ефимьевич,83267615546.0,,,,https://t.me/emmanuil01,8.0,702325783002.0,,7:20:21,f,,16.0
,Станислав,,,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/nesterovigor,,,673465.0,,,,
Харитонова,,Богдановна,86271095477.0,,,1967-10-13,,,702325783002.0,,,,84.0,
,,,86348281410.0,uvarovvsevolod@example.org,"г. Курган, пер. Проезжий, д. 4, 318595",1947-07-15,https://t.me/avtonom91,8.0,702325783002.0,,7:52:12,m,8.0,
Ермаков,София,Ефимьевич,,emilija_1988@example.net,,1965-10-17,https://t.me/budimir94,,702325783002.0,445966.0,,m,80.0,
,,Ефимьевич,,birjukovanaina@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/emmanuil01,,702325783002.0,673465.0,,m,,
,Тарас,,,,,1937-02-25,https://t.me/emmanuil01,19.0,702325783002.0,673465.0,,m,8.0,61.0
Жуков,Станислав,Ефимьевич,,vasilevazhanna@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/agge_1971,,,,,m,,
,,Ефимьевич,,,,,,8.0,,673465.0,,,,
Зыкова,Юлиан,,,lukinkarl@example.com,"к. Устюжна, бул. Победа, д. 98 к. 9, 635509",1967-10-13,https://t.me/panisimov,8.0,,509335.0,4:3:6,,8.0,
,,Ефимьевич,,,,1969-11-25,,8.0,702325783002.0,,10:46:55,m,,87.0
Харитонова,,Ефимьевич,78958554021.0,gorbunovdavid@example.net,"с. Чермоз, пер. Коммуны, д. 64 к. 328, 944211",1967-10-13,https://t.me/oleg_91,8.0,,,10:46:55,,8.0,
Потапов,Вадим,Ефимьевич,70898701432.0,gorbunovdavid@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",1942-01-07,https://t.me/emmanuil01,,702325783002.0,,10:46:55,m,8.0,31.0
Бурова,,Ефимьевич,81756479061.0,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/samuil_01,8.0,,,,,,
,,,75144120366.0,gefimova@example.org,,1949-03-25,,8.0,,,5:27:51,,8.0,61.0
,,Ефимьевич,,havdeeva@example.org,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/emmanuil01,,,673465.0,,,,4.0
,,,74707978880.0,feliks1989@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/mariansergeev,,702325783002.0,673465.0,15:13:17,,,
Чернов,Ираида,,81856597450.0,vlas2017@example.com,,1967-10-13,https://t.me/emmanuil01,,,673465.0,10:46:55,,62.0,61.0
Давыдова,Прокл,Ефимьевич,87352397363.0,,,2009-02-17,,8.0,702325783002.0,838392.0,13:38:20,,,72.0
,,,,gorbunovdavid@example.net,,1965-06-09,,8.0,889656611362.0,,2:52:16,m,,
Красильников,,,,zbobrova@example.net,"ст. Агата, ш. Труда, д. 96 стр. 6, 904729",,https://t.me/emmanuil01,,702325783002.0,673465.0,2:2:39,m,8.0,61.0
Ермаков,Фаина,Егоровна,,safonovevse@example.com,"к. Красноселькуп, алл. Большая, д. 184, 606267",2010-05-15,https://t.me/emmanuil01,,,673465.0,10:46:55,,54.0,61.0
Орлов,Богдан,Богдановна,86361147036.0,gorbunovdavid@example.net,,1967-10-13,https://t.me/hristoforprohorov,8.0,,,,m,43.0,61.0
,Пахом,,,,"с. Вуктыл, ш. Полевое, д. 376 к. 58, 348411",1980-08-04,https://t.me/emmanuil01,,,673465.0,7:53:12,m,8.0,
Сафонова,,Ефимьевич,,gorbunovdavid@example.net,"п. Ярославль, ул. Геологическая, д. 5/7 к. 7/3, 770129",1965-10-27,https://t.me/emmanuil01,8.0,702325783002.0,,21:2:9,,,61.0
,Лука,,,zoja_29@example.com,,,,,702325783002.0,673465.0,23:45:53,m,61.0,
Носов,Валерьян,,,,"с. Аршан (Бурят.), ш. Центральное, д. 5/7 к. 213, 349459",1960-11-22,,8.0,702325783002.0,673465.0,,,,
,Пимен,,,,,,https://t.me/emmanuil01,,,,,f,,
Носков,,,73865042533.0,arseni_79@example.net,,,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,,m,8.0,61.0
Зыков,,,74003780115.0,,"г. Брянск, ш. Дзержинского, д. 45, 367387",1975-06-04,https://t.me/anatoli21,23.0,702325783002.0,,,f,,
Архипова,,,71750639757.0,sgavrilov@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/borislavmakarov,8.0,,,,m,,
Ермаков,,,87373930915.0,knjazevfoma@example.com,,,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,,,8.0,
Максимов,,,89397721305.0,,"ст. Златоуст, бул. Чкалова, д. 380 стр. 2/6, 234626",1947-11-10,,8.0,702325783002.0,673465.0,2:6:20,m,8.0,61.0
Ширяев,Василиса,,81678129186.0,,"г. Петушки, бул. Пугачева, д. 5, 714565",,,9.0,,,14:30:43,,,61.0
Никифоров,Станислав,Ефимьевич,70898701432.0,gremislav_2001@example.org,"г. Курган, пер. Проезжий, д. 4, 318595",1966-05-07,https://t.me/emmanuil01,8.0,702325783002.0,,,,72.0,65.0
,Станислав,Ефимьевич,,gorbunovdavid@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",1970-04-03,https://t.me/saveli1976,,,673465.0,10:46:55,m,,
Ермаков,Радим,,88031698233.0,,"г. Курган, пер. Проезжий, д. 4, 318595",1967-10-13,https://t.me/ustinovaakulina,,702325783002.0,276524.0,3:35:38,m,8.0,61.0
Лобанов,,,86058054119.0,,,,https://t.me/emmanuil01,,702325783002.0,,,,,
,Константин,Ефимьевич,,gorbunovdavid@example.net,,,,,,673465.0,,m,29.0,61.0
,,Ефимьевич,74521147791.0,,"г. Курган, пер. Проезжий, д. 4, 318595",,,8.0,702325783002.0,,,m,,
,,Ефимьевич,70898701432.0,gorbunovdavid@example.net,"к. Нижнекамск, ул. Коминтерна, д. 348, 088386",2003-02-26,,,,673465.0,7:50:30,,73.0,
Кириллова,,,70383181497.0,gorbunovdavid@example.net,"к. Тутаев, пр. Лазурный, д. 87, 207236",1987-07-15,https://t.me/muravevandron,8.0,,673465.0,,m,,61.0
Селиверстов,Герасим,,70898701432.0,,,,,,,,,,,61.0
,Иванна,,,evfrosinija_28@example.com,"д. Невельск, ш. Клубное, д. 5/1 стр. 7, 182251",,https://t.me/orehovaeleonora,,,,10:46:55,,8.0,61.0
,Оксана,,78010755748.0,gorbunovdavid@example.net,,1967-10-13,,8.0,,,,,,36.0
,,Ефимьевич,89370399617.0,kuvarov@example.net,"к. Серпухов, ш. Элеваторное, д. 994 стр. 280, 268005",,https://t.me/emmanuil01,30.0,702325783002.0,,10:46:55,,,8.0
Коновалова,,,75401640747.0,,"к. Каргополь, пр. Прудовой, д. 21, 741199",1961-08-06,https://t.me/martinovsvjatopolk,,702325783002.0,,,,61.0,
Лебедева,,Ефимьевич,,,"ст. Чайковский, пер. Московский, д. 9 к. 5, 967328",,,30.0,,,,m,79.0,
Ермаков,,Ефимьевич,73268945540.0,,"п. Северобайкальск, пр. Свердлова, д. 447 стр. 6, 385933",1989-11-02,https://t.me/emmanuil01,15.0,702325783002.0,673465.0,12:36:37,m,,
Ермаков,,,,dtihonova@example.com,"г. Губаха, пр. Блюхера, д. 2/6 к. 8, 976715",,https://t.me/emmanuil01,28.0,702325783002.0,,20:34:18,f,,78.0
Павлов,Варфоломей,Ефимьевич,70871202920.0,emeljan33@example.com,,1967-10-13,,,,,11:38:48,,38.0,61.0
Агафонова,,Ефимьевич,76270606388.0,fotimolchanov@example.com,"к. Новый Оскол, ш. Титова, д. 6/2, 732071",1967-10-13,https://t.me/nikonovinnokenti,,,673465.0,,m,8.0,
,Станислав,Ефимьевич,70898701432.0,solovevkir@example.org,,,https://t.me/emmanuil01,8.0,,,,f,8.0,61.0
,Евлампий,,71078902208.0,filippovfedot@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/emmanuil01,23.0,,520449.0,,m,,
,,Ефимьевич,70898701432.0,longindmitriev@example.com,,1967-10-13,https://t.me/emmanuil01,,702325783002.0,,3:48:15,f,,61.0
Ермаков,,,,sobolevairina@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/svjatopolk_36,,702325783002.0,317774.0,10:46:55,m,,61.0
,Ипполит,,70898701432.0,ustinovveniamin@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,,8.0,702325783002.0,,,m,,
Лихачев,Станислав,,70898701432.0,gorbunovdavid@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/emmanuil01,,702325783002.0,673465.0,,,,
Мельников,,Ефимьевич,89915586390.0,,,,,,702325783002.0,673465.0,21:47:16,,16.0,
Мамонтова,,Ефимьевич,89430551958.0,luchezar34@example.org,,,https://t.me/timofe17,8.0,,673465.0,,m,46.0,
Панов,Полина,,,gorbunovdavid@example.net,"д. Псебай, пр. Есенина, д. 96 к. 8, 276086",1967-10-13,https://t.me/emmanuil01,8.0,,673465.0,10:46:55,,8.0,61.0
,,Анисимович,,,,,https://t.me/emmanuil01,,,673465.0,,,58.0,82.0
,,Ефимьевич,80300312309.0,taras90@example.org,,1949-07-11,,,,673465.0,15:29:25,m,8.0,
,,,75142661262.0,gorbunovdavid@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",1970-01-11,https://t.me/moise1972,8.0,,,,m,,61.0
Кузнецов,Екатерина,Ефимьевич,,nsavelev@example.net,,1964-08-19,,8.0,702325783002.0,,17:39:10,,,61.0
Бобылев,Клавдий,,79290490200.0,samsonovostap@example.com,,,https://t.me/emmanuil01,34.0,,673465.0,10:46:55,,57.0,61.0
Горбунов,,,,nina_2001@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",1944-05-09,https://t.me/evgeni_1978,8.0,,673465.0,11:17:45,,71.0,
Ермаков,,,,,"п. Брянск, ул. Проточная, д. 32 к. 221, 899298",,,,,,,,,61.0
,,,,gorbunovdavid@example.net,"с. Невинномысск, алл. Береговая, д. 720 стр. 3, 032060",1989-08-08,https://t.me/kondrat2004,8.0,702325783002.0,673465.0,10:46:55,,8.0,61.0
,Павел,,72504395346.0,trofimovauljana@example.org,,,https://t.me/beljaevonufri,,702325783002.0,673465.0,18:12:40,m,,
,Станислав,Ефимьевич,79821649865.0,,"клх Оленек, алл. Крайняя, д. 628 стр. 633, 902833",,,,,,16:0:17,,8.0,
,Станислав,Ефимьевич,79447584895.0,,"г. Курган, пер. Проезжий, д. 4, 318595",2000-02-24,,42.0,702325783002.0,673465.0,10:46:55,m,,
Сорокина,,Тимуровна,,,"ст. Ейск, пер. Дарвина, д. 1 к. 747, 711191",,https://t.me/dorofe_68,8.0,702325783002.0,881166.0,16:31:36,,,61.0
Лапина,,,,zinovi_01@example.org,"с. Кедровый, ш. Проезжее, д. 43, 386094",1973-08-21,,8.0,702325783002.0,,2:9:28,m,,
Боброва,Раиса,,,,"г. Курган, пер. Проезжий, д. 4, 318595",,https://t.me/plavrenteva,7.0,,,,m,,99.0
Ермаков,Фадей,Рудольфовна,80453439421.0,wgureva@example.com,,,https://t.me/emmanuil01,39.0,702325783002.0,,14:21:0,m,,
Ермаков,Давыд,Ефимьевич,88198370397.0,,"п. Пенза, пр. Кольцевой, д. 4 к. 20, 478685",,,,702325783002.0,673465.0,1:26:41,,,
,,,82460065332.0,sinklitikija70@example.com,,1950-04-16,,17.0,300469618532.0,298648.0,,,8.0,61.0
,Николай,,80323094189.0,,"к. Бугуруслан, наб. Ватутина, д. 212 стр. 57, 496198",,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,,f,8.0,61.0
Ермаков,Олимпиада,,,,,,https://t.me/emmanuil01,,315253985583.0,673465.0,10:46:55,,,61.0
Котов,Михей,Ефимьевич,70898701432.0,,,,https://t.me/drozdovlukjan,,,673465.0,3:52:11,,48.0,23.0
Александров,,Ефимьевич,,,,1953-02-21,https://t.me/emil59,,,,10:18:23,,,61.0
Ермаков,Якуб,,,dorofe_58@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",1967-10-13,,,702325783002.0,673465.0,,m,,
Николаева,,Ефимьевич,82530561755.0,evseevavera@example.com,"к. Шуя, наб. Большевистская, д. 322, 382167",,https://t.me/martinovataisija,8.0,,,10:46:55,,,
,Станислав,,,,,1993-11-13,https://t.me/noskovbogdan,1.0,702325783002.0,,10:46:55,,,
,Эрнест,Ефимьевич,,ipati_1971@example.com,,,,,702325783002.0,673465.0,8:27:17,m,8.0,
Лебедева,Прокл,Ефимьевич,,,"клх Ростов, пер. Станиславского, д. 9/6 к. 6/1, 563241",1990-07-07,,8.0,,,,f,8.0,61.0
,,,,anatoli1981@example.com,,,,8.0,702325783002.0,,,f,80.0,61.0
Костин,,Ефимьевич,79822395183.0,,,1947-08-24,https://t.me/emmanuil01,,,,20:50:44,,34.0,
,,,,,,1965-08-22,,8.0,702325783002.0,,,,,61.0
,,,,guri2013@example.net,"г. Курган, пер. Проезжий, д. 4, 318595",,,,702325783002.0,,,,,
,,,84927110524.0,gorbunovdavid@example.net,"с. Новороссийка, ш. Красноярское, д. 5, 706672",,https://t.me/tretjakovaevfrosinija,8.0,702325783002.0,,11:35:34,,8.0,
,Артемий,,70898701432.0,,"к. Сорочинск, ш. Халтурина, д. 9/7, 357525",1967-10-13,,,702325783002.0,,,f,25.0,25.0
,Полина,,70898701432.0,,,2004-07-28,https://t.me/emmanuil01,,702325783002.0,,,,51.0,98.0
Ермаков,,Ефимьевич,88437323314.0,ostromir_94@example.org,,,https://t.me/ignatevsilanti,8.0,702325783002.0,673465.0,10:46:55,,81.0,46.0
,,Ефимьевич,,,,,,,702325783002.0,673465.0,,m,8.0,61.0
Власов,,,,,"г. Курган, пер. Проезжий, д. 4, 318595",,,8.0,,,10:46:55,m,92.0,
,Елена,Ефимьевич,80701621906.0,veniamin_2013@example.com,"г. Курган, пер. Проезжий, д. 4, 318595",,,,,646871.0,10:46:55,m,,61.0
Селиверстова,Ювеналий,Ефимьевич,75762370112.0,blinovprov@example.net,,1964-05-02,https://t.me/emmanuil01,8.0,,673465.0,9:49:24,m,,
,Моисей,,,,,1996-05-12,https://t.me/emmanuil01,,,673465.0,13:55:27,,26.0,61.0
Кулакова,,Ефимьевич,70898701432.0,afanasi_26@example.net,"к. Иваново, алл. Выгонная, д. 26, 872497",1968-06-27,https://t.me/emmanuil01,8.0,702325783002.0,673465.0,10:46:55,m,,61.0
Никифоров,Родион,Еремеевич,,radovan1979@example.org,,1958-05-11,https://t.me/emmanuil01,8.0,702325783002.0,,10:46:55,,,61.0
Орлова,,Ефимьевич,70898701432.0,igor1986@example.org,"с. Воскресенск, бул. Глинки, д. 1, 205563",,https://t.me/bolshakovsokrat,,69559503989.0,481243.0,10:46:55,m,8.0,61.0
Петухов,Прокл,Ефимьевич,,zhuravlevafevronija@example.net,,1967-10-13,https://t.me/emmanuil01,,,,,,8.0,21.0
,Тимофей,Ефимьевич,,gorbunovdavid@example.net,,1968-07-15,,8.0,702325783002.0,673465.0,16:34:30,m,,61.0
Бобылева,Станислав,Ефимьевич,,gorbunovdavid@example.net,"г. Йошкар-Ола, бул. Чернышевского, д. 565 стр. 1/7, 236579",,,27.0,,673465.0,,m,8.0,
,Творимир,,89571225597.0,,,1984-07-10,https://t.me/emmanuil01,,324755102336.0,661105.0,22:17:51,,37.0,61.0
,,Ефимьевич,70898701432.0,,,,https://t.me/kornil_1987,,,,10:46:55,m,,61.0
Ермаков,,Ефимьевич,85097266175.0,vseslavfadeev@example.net,,,https://t.me/jguljaev,16.0,474614309015.0,673465.0,,,,
,,,81315143527.0,gorbunovdavid@example.net,,2005-02-24,https://t.me/emmanuil01,32.0,,,,,,
Исакова,Станислав,Ефимьевич,,,,1949-09-12,https://t.me/martinsokolov,8.0,,673465.0,10:46:55,m,57.0,
Зыкова,Андроник,,70898701432.0,,"г. Курган, пер. Проезжий, д. 4, 318595",,,,,673465.0,21:41:35,m,,
,,,,safonovamargarita@example.net,,,,,702325783002.0,,10:46:55,m,,19.0
,,,70580581713.0,,,1952-10-06,,8.0,702325783002.0,,4:22:54,m,,61.0
,Рубен,Ефимьевич,,,"с. Новомичуринск, наб. Февральская, д. 13 к. 630, 661777",1991-10-06,https://t.me/kononovkazimir,,702325783002.0,,14:24:35,,8.0,61.0
Алексеева,Роман,,70820817709.0,hohlovharlampi@example.org,"клх Поронайск, алл. Сплавная, д. 1, 595766",2008-02-05,https://t.me/zatsevfeoktist,,702325783002.0,,,m,8.0,
Кононов,Станислав,Ефимьевич,70898701432.0,,,,https://t.me/maja_1977,8.0,,,,m,80.0,
Никонова,Климент,,,,,,,6.0,,321149.0,10:46:55,m,8.0,61.0
Одинцов,Станислав,,,,,1995-08-07,https://t.me/emmanuil01,11.0,,673465.0,,,,20.0
,Милий,,,gorbunovdavid@example.net,,1967-10-13,,8.0,,951507.0,,,,
Лукина,Филарет,,70898701432.0,evgenija_87@example.com,,1967-10-13,,15.0,,673465.0,9:58:37,m,,
Яковлев,,,,ziminaanastasija@example.net,"ст. Куртамыш, алл. Ростовская, д. 6 стр. 1/3, 908061",,,,702325783002.0,673465.0,10:46:55,,,61.0
,Станислав,Ефимьевич,,,"п. Красногорск (Моск.), наб. Сельская, д. 80, 580878",1967-10-13,https://t.me/emmanuil01,,,673465.0,12:14:41,m,8.0,
Сорокина,Светлана,,,sorokinandron@example.com,,,,29.0,702325783002.0,,12:24:28,m,8.0,
,Геннадий,Яковлевна,,ovchinnikovsila@example.org,,,,,,,,,,
,,,70898701432.0,,,,,8.0,702325783002.0,265859.0,8:39:32,m,,
,,,84545487085.0,smirnovaljubov@example.org,,,,0.0,702325783002.0,673465.0,,m,,61.0
Медведева,Станислав,,84001534577.0,galkinaanzhela@example.com,,,https://t.me/emmanuil01,24.0,702325783002.0,673465.0,3:19:59,m,,42.0
,,Тимурович,72290401727.0,,"п. Кежма, пер. Петровский, д. 631 стр. 6, 254475",1991-07-02,,,,,19:44:16,,,61.0
